Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
04/04/2023 16:23:18	00:01:15	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,24	0,00
04/04/2023 16:23:19	00:01:16	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,25	0,00
04/04/2023 16:23:20	00:01:17	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,26	0,00
04/04/2023 16:23:21	00:01:18	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,30	0,00
04/04/2023 16:23:22	00:01:19	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	0,28	0,00
04/04/2023 16:23:23	00:01:20	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,28	0,00
04/04/2023 16:23:24	00:01:21	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,30	0,00
04/04/2023 16:23:25	00:01:22	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	0,34	0,00
04/04/2023 16:23:26	00:01:23	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	0,33	0,00
04/04/2023 16:23:27	00:01:24	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,35	0,00
04/04/2023 16:23:28	00:01:25	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,34	0,00
04/04/2023 16:23:29	00:01:26	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,34	0,00
04/04/2023 16:23:30	00:01:27	1,00	0,00	0,00	0,00	0,03	52,00	1,00	1,00	0,00	0,41	0,00
04/04/2023 16:23:31	00:01:28	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	0,40	0,00
04/04/2023 16:23:32	00:01:29	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,43	0,00
04/04/2023 16:23:33	00:01:30	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	0,47	0,00
04/04/2023 16:23:34	00:01:31	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,59	0,00
04/04/2023 16:23:35	00:01:32	1,00	0,00	0,00	0,00	0,03	52,00	1,00	1,00	0,00	0,73	0,00
