TimeStamp;B10200781A: Flow setpoint (ml/min);B10200781A: Flow (ml/min);B13200860A: Flow setpoint (ml/min);B13200860A: Flow (ml/min)
2025-01-17 15:27:07.444;1,1698002;1,8908616;2,0798001;2,2186153
2025-01-17 15:27:08.444;1,1698002;1,9315877;2,0798001;2,1731446
2025-01-17 15:27:09.444;1,1698002;1,7102896;2,0798001;2,0398636
2025-01-17 15:27:10.444;1,1698002;1,8071903;2,0798001;2,2835104
2025-01-17 15:27:11.444;1,1698002;1,7449633;2,0798001;2,1693819
2025-01-17 15:27:12.444;1,1698002;1,6886747;2,0798001;2,3406394
2025-01-17 15:27:13.444;1,1698002;1,4887714;2,0798001;2,091272
2025-01-17 15:27:14.444;1,1698002;1,2027318;2,0798001;2,3398237
2025-01-17 15:27:15.444;1,1698002;1,1234494;2,0798001;2,276458
2025-01-17 15:27:16.444;1,1698002;1,1819626;2,0798001;2,2645452
2025-01-17 15:27:17.444;1,1698002;1,2426165;2,0798001;2,3840716
2025-01-17 15:27:18.444;1,1698002;0,9598704;2,0798001;2,3450272
2025-01-17 15:27:19.444;1,1698002;0,7960076;2,0798001;2,3001986
2025-01-17 15:27:20.444;1,1698002;0,6101455;2,0798001;2,0136015
2025-01-17 15:27:21.444;1,1698002;0,54777277;2,0798001;2,314771
2025-01-17 15:27:22.444;1,1698002;0,5945218;2,0798001;2,2381487
2025-01-17 15:27:23.444;1,1698002;0,60581046;2,0798001;2,3384311
2025-01-17 15:27:24.444;1,1698002;0,59496635;2,0798001;2,284388
2025-01-17 15:27:25.444;1,1698002;0,48953113;2,0798001;2,2352796
2025-01-17 15:27:26.444;1,1698002;0,5148555;2,0798001;2,1933951
2025-01-17 15:27:27.444;1,1698002;0,5527194;2,0798001;1,8833597
2025-01-17 15:27:28.444;1,1698002;0,86774147;2,0798001;2,321013
2025-01-17 15:27:29.444;1,1698002;1,2733973;2,0798001;2,2301843
2025-01-17 15:27:30.444;1,1698002;1,3904889;2,0798001;2,2703795
2025-01-17 15:27:31.444;1,1698002;1,4868363;2,0798001;1,9552352
2025-01-17 15:27:32.444;1,1698002;1,6945944;2,0798001;2,2046432
2025-01-17 15:27:33.444;1,1698002;1,8713343;2,0798001;2,2055163
2025-01-17 15:27:34.444;1,1698002;1,8905777;2,0798001;2,180924
2025-01-17 15:27:35.444;1,1698002;1,9504505;2,0798001;2,295105
2025-01-17 15:27:36.444;1,1698002;1,5695523;2,0798001;2,2083063
2025-01-17 15:27:37.444;1,1698002;1,5202551;2,0798001;2,2936947
2025-01-17 15:27:38.444;1,1698002;1,35265;2,0798001;2,0528786
2025-01-17 15:27:39.444;1,1698002;1,4491545;2,0798001;2,3216875
2025-01-17 15:27:40.444;1,1698002;1,4068958;2,0798001;2,3040886
2025-01-17 15:27:41.444;1,1698002;1,2221565;2,0798001;2,3201363
2025-01-17 15:27:42.444;1,1698002;1,1442387;2,0798001;2,1925995
2025-01-17 15:27:43.444;1,1698002;0,9273586;2,0798001;2,2439632
2025-01-17 15:27:44.444;1,1698002;0,93643486;2,0798001;2,3394027
2025-01-17 15:27:45.444;1,1698002;0,87489057;2,0798001;2,1354034
2025-01-17 15:27:46.444;1,1698002;0,884929;2,0798001;2,4090376
2025-01-17 15:27:47.444;1,1698002;0,6751189;2,0798001;2,233118
2025-01-17 15:27:48.444;1,1698002;0,5682223;2,0798001;2,2627172
2025-01-17 15:27:49.444;1,1698002;0,49659586;2,0798001;2,0685625
2025-01-17 15:27:50.444;1,1698002;0,5625932;2,0798001;2,1172442
2025-01-17 15:27:51.444;1,1698002;0,7413632;2,0798001;2,2971387
2025-01-17 15:27:52.444;1,1698002;0,7105589;2,0798001;2,1863215
2025-01-17 15:27:53.444;1,1698002;0,6075703;2,0798001;2,3339453
2025-01-17 15:27:54.444;1,1698002;0,81729686;2,0798001;1,9037142
2025-01-17 15:27:55.444;1,1698002;1,1509039;2,0798001;2,209269
2025-01-17 15:27:56.444;1,1698002;1,2925388;2,0798001;2,0808287
2025-01-17 15:27:57.444;1,1698002;1,5047683;2,0798001;2,2183144
2025-01-17 15:27:58.444;1,1698002;1,6719799;2,0798001;2,3047333
2025-01-17 15:27:59.444;1,1698002;1,5883032;2,0798001;2,2392387
2025-01-17 15:28:00.444;1,1698002;1,6279782;2,0798001;2,2370694
2025-01-17 15:28:01.444;1,1698002;1,4964627;2,0798001;1,9130912
2025-01-17 15:28:02.444;1,1698002;1,7106892;2,0798001;2,2737858
2025-01-17 15:28:03.444;1,1698002;1,6354054;2,0798001;2,2065735
2025-01-17 15:28:04.444;1,1698002;1,5533621;2,0798001;2,3470821
