Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
05/04/2023 11:11:03	00:01:43	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	2,05	0,00
05/04/2023 11:11:04	00:01:44	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	2,87	0,00
05/04/2023 11:11:05	00:01:45	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	3,71	0,00
05/04/2023 11:11:06	00:01:46	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	4,68	0,00
05/04/2023 11:11:07	00:01:47	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	5,67	0,00
05/04/2023 11:11:08	00:01:48	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	6,70	0,00
05/04/2023 11:11:09	00:01:49	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	7,93	0,00
05/04/2023 11:11:10	00:01:50	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	9,23	0,00
05/04/2023 11:11:11	00:01:51	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	10,71	0,00
05/04/2023 11:11:12	00:01:52	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	12,36	0,00
05/04/2023 11:11:13	00:01:53	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	14,18	0,00
05/04/2023 11:11:14	00:01:54	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	16,09	0,00
05/04/2023 11:11:15	00:01:55	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	18,36	0,00
05/04/2023 11:11:16	00:01:56	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	20,93	0,00
05/04/2023 11:11:17	00:01:57	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	24,05	0,00
05/04/2023 11:11:18	00:01:58	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	27,01	0,00
05/04/2023 11:11:19	00:01:59	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	29,43	0,00
05/04/2023 11:11:20	00:02:00	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	31,84	0,00
05/04/2023 11:11:21	00:02:01	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	34,73	0,00
05/04/2023 11:11:22	00:02:02	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	38,34	0,00
05/04/2023 11:11:23	00:02:03	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	1,00	42,88	0,00
05/04/2023 11:11:24	00:02:04	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	1,00	48,30	0,00
05/04/2023 11:11:25	00:02:05	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	1,00	54,32	0,00
05/04/2023 11:11:26	00:02:06	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	60,14	0,00
05/04/2023 11:11:27	00:02:07	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	58,04	0,00
05/04/2023 11:11:28	00:02:08	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	50,38	0,00
05/04/2023 11:11:29	00:02:09	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	65,42	0,00
05/04/2023 11:11:30	00:02:10	1,00	0,00	0,00	0,00	0,03	56,00	1,00	0,00	1,00	89,64	0,00
